Previous,Current,HighestNext,GoldAmount,ExpectedAmount,HighestProbAmount,HighestAmount,LowestAmount,IsSame
Under30_MI231,Under30_MI227,Under30_MI227,96.53,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI227,Under30_MI227,87.73,51.603937207488315,0.0,2000.0,-145.0,True
Under30_MI227,Under30_MI231,Under30_MI227,99.0,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI231,Under30_MI227,Under30_MI227,99.0,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI227,Under30_MI227,11.32,51.603937207488315,0.0,2000.0,-145.0,True
Under30_MI227,Under30_MI228,Under30_MI227,11.32,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI228,Under30_MI233,Under30_MI228,11.32,19.869828123811693,0.0,785.0,-31.99,False
Under30_MI233,Under30_MI228,Under30_MI233,11.32,77.33711543351127,0.0,2255.28,-137.28,False
Under30_MI228,Under30_MI233,Under30_MI228,11.32,19.869828123811693,0.0,785.0,-31.99,False
Under30_MI233,Under30_MI228,Under30_MI233,11.32,77.33711543351127,0.0,2255.28,-137.28,False
Under30_MI228,Under30_MI228,Under30_MI228,11.32,19.869828123811693,0.0,785.0,-31.99,True
Under30_MI228,Under30_MI228,Under30_MI228,11.32,19.869828123811693,0.0,785.0,-31.99,True
Under30_MI228,Under30_MI228,Under30_MI228,11.32,19.869828123811693,0.0,785.0,-31.99,True
Under30_MI228,Under30_MI231,Under30_MI228,0.0,19.869828123811693,0.0,785.0,-31.99,False
Under30_MI231,Under30_MI227,Under30_MI227,0.0,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI231,Under30_MI227,25.0,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI231,Under30_MI206,Under30_MI227,25.0,62.49736566643407,0.0,1170.82,0.0,False
Under30_MI206,Under30_MI227,Under30_MI227,25.0,53.823469656992096,0.0,317.77,0.0,True
Under30_MI227,Under30_MI231,Under30_MI227,25.0,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI231,Under30_MI227,Under30_MI227,25.0,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI231,Under30_MI227,25.0,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI231,Under30_MI227,Under30_MI227,25.0,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI231,Under30_MI227,25.0,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI231,Under30_MI227,Under30_MI227,25.0,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI227,Under30_MI227,0.0,51.603937207488315,0.0,2000.0,-145.0,True
Under30_MI227,Under30_MI228,Under30_MI227,0.0,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI228,Under30_MI228,Under30_MI228,0.0,19.869828123811693,0.0,785.0,-31.99,True
Under30_MI228,Under30_MI228,Under30_MI228,0.0,19.869828123811693,0.0,785.0,-31.99,True
Under30_MI228,Under30_MI228,Under30_MI228,0.0,19.869828123811693,0.0,785.0,-31.99,True
Under30_MI228,Under30_MI227,Under30_MI228,46.66,19.869828123811693,0.0,785.0,-31.99,False
Under30_MI227,Under30_MI227,Under30_MI227,0.0,51.603937207488315,0.0,2000.0,-145.0,True
Under30_MI227,Under30_MI228,Under30_MI227,0.0,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI228,Under30_MI228,Under30_MI228,0.0,19.869828123811693,0.0,785.0,-31.99,True
Under30_MI228,Under30_MI231,Under30_MI228,97.27,19.869828123811693,0.0,785.0,-31.99,False
Under30_MI231,Under30_MI227,Under30_MI227,97.27,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI227,Under30_MI227,85.74,51.603937207488315,0.0,2000.0,-145.0,True
Under30_MI227,Under30_MI231,Under30_MI227,102.52,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI231,Under30_MI227,Under30_MI227,102.52,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI206,Under30_MI227,102.52,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI206,Under30_MI227,Under30_MI227,0.0,53.823469656992096,0.0,317.77,0.0,True
Under30_MI227,Under30_MI200,Under30_MI227,0.0,51.603937207488315,0.0,2000.0,-145.0,False
Under30_MI200,Under30_MI231,Under30_MI227,98.17,37.04140082401414,0.0,1176.53,0.0,False
Under30_MI231,Under30_MI227,Under30_MI227,98.17,62.49736566643407,0.0,1170.82,0.0,True
Under30_MI227,Under30_MI227,Under30_MI227,176.81,51.603937207488315,0.0,2000.0,-145.0,True
Under30_MI227,Under30_MI227,Under30_MI227,114.7,51.603937207488315,0.0,2000.0,-145.0,True
START_STATE,Under60_AZ163,Under60_MI227,0.0,70.01195804195802,0.0,740.65,-145.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ227,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ227,Under60_AZ213,Under60_AZ227,0.0,70.77248868778277,0.0,1037.87,0.0,False
Under60_AZ213,Under60_AZ213,Under60_AZ213,0.0,36.33630412371135,0.0,388.0,0.0,True
Under60_AZ213,Under60_AZ213,Under60_AZ213,0.0,36.33630412371135,0.0,388.0,0.0,True
Under60_AZ213,Under60_AZ213,Under60_AZ213,0.0,36.33630412371135,0.0,388.0,0.0,True
Under60_AZ213,Under60_AZ163,Under60_AZ213,0.0,36.33630412371135,0.0,388.0,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ213,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,True
Under60_AZ213,Under60_AZ163,Under60_AZ213,0.0,36.33630412371135,0.0,388.0,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ227,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ227,Under60_AZ213,Under60_AZ227,0.0,70.77248868778277,0.0,1037.87,0.0,False
Under60_AZ213,Under60_AZ163,Under60_AZ213,0.0,36.33630412371135,0.0,388.0,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
Under60_AZ163,Under60_AZ163,Under60_AZ213,0.0,37.510629251700685,0.0,385.41,0.0,False
START_STATE,Under60_NC227,Under60_MI227,334.47,70.01195804195802,0.0,740.65,-145.0,False
Under60_NC227,Under60_NC227,Under60_NC227,42.03,125.77481256332327,111.3,647.16,-79.65,True
Under60_NC227,Under60_NC197,Under60_NC227,246.6,125.77481256332327,111.3,647.16,-79.65,False
Under60_NC197,Under60_NC233,Under60_NC227,16.15,212.566,149.95,664.42,74.07,False
Under60_NC233,Under60_NC233,Under60_NC233,16.15,488.03196891191686,0.0,23877.5,0.0,True
Under60_NC233,Under60_NC231,Under60_NC233,16.15,488.03196891191686,0.0,23877.5,0.0,False
Under60_NC231,Under60_NC227,Under60_NC227,252.68,166.7210138248848,111.3,604.88,0.0,True
Under60_NC227,Under60_NC193,Under60_NC227,545.87,125.77481256332327,111.3,647.16,-79.65,False
Under60_NC193,Under60_NC227,Under60_NC227,111.3,222.5027272727273,111.3,837.33,82.45,True
Under60_NC227,Under60_NC227,Under60_NC227,0.0,125.77481256332327,111.3,647.16,-79.65,True
Under60_NC227,Under60_NC233,Under60_NC227,0.0,125.77481256332327,111.3,647.16,-79.65,False
Under60_NC233,Under60_NC233,Under60_NC233,0.0,488.03196891191686,0.0,23877.5,0.0,True
Under60_NC233,Under60_NC231,Under60_NC233,0.0,488.03196891191686,0.0,23877.5,0.0,False
Under60_NC231,Under60_NC227,Under60_NC227,0.0,166.7210138248848,111.3,604.88,0.0,True
Under60_NC227,Under60_NC179,Under60_NC227,0.0,125.77481256332327,111.3,647.16,-79.65,False
Under60_NC179,Under60_NC233,Under60_NC227,0.0,542.0446666666667,92.04,3184.38,52.36,False
START_STATE,Under60_MI228,Under60_MI227,0.0,70.01195804195802,0.0,740.65,-145.0,False
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI227,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,False
Under60_MI227,Under60_MI227,Under60_MI227,76.53,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI227,Under60_MI227,76.53,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI228,Under60_MI227,0.0,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI228,Under60_MI227,Under60_MI228,76.53,17.600709199658215,0.0,785.0,-31.99,False
Under60_MI227,Under60_MI228,Under60_MI227,0.0,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI227,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,False
Under60_MI227,Under60_MI227,Under60_MI227,77.27,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI227,Under60_MI227,0.0,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI227,Under60_MI227,54.5,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI206,Under60_MI227,154.07,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI206,Under60_MI227,Under60_MI227,154.07,54.9267492566898,0.0,317.77,0.0,True
Under60_MI227,Under60_MI227,Under60_MI227,137.08,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI227,Under60_MI227,77.27,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI231,Under60_MI227,159.2,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI231,Under60_MI237,Under60_MI227,159.2,61.23449904030709,0.0,1012.16,0.0,False
Under60_MI237,Under60_MI227,Under60_MI227,159.2,64.70258235919238,0.0,397.0,0.0,True
Under60_MI227,Under60_MI227,Under60_MI227,77.27,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI227,Under60_MI227,137.08,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI228,Under60_MI227,0.0,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI202,Under60_MI228,153.78,17.600709199658215,0.0,785.0,-31.99,False
Under60_MI202,Under60_MI227,Under60_MI227,153.78,53.98422330097085,0.0,618.1,0.0,True
Under60_MI227,Under60_MI183,Under60_MI227,153.78,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI183,Under60_MI228,Under60_MI227,0.0,62.08858455882353,0.0,693.52,0.0,False
Under60_MI228,Under60_MI228,Under60_MI228,0.0,17.600709199658215,0.0,785.0,-31.99,True
Under60_MI228,Under60_MI206,Under60_MI228,94.26,17.600709199658215,0.0,785.0,-31.99,False
Under60_MI206,Under60_MI227,Under60_MI227,94.26,54.9267492566898,0.0,317.77,0.0,True
Under60_MI227,Under60_MI227,Under60_MI227,0.0,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI227,Under60_MI227,92.72,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI227,Under60_MI227,77.27,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI226,Under60_MI227,12.75,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI226,Under60_MI243,Under60_MI227,276.91,70.5755779376499,0.0,743.71,0.0,False
Under60_MI243,Under60_MI214,Under60_MI243,276.91,67.99219622331688,0.0,5695.0,0.0,False
Under60_MI214,Under60_MI227,Under60_MI163,276.91,50.52207624633435,0.0,408.25,0.0,False
